template_id,amp_bin,shape,amp_low,amp_high,amp_center,late_fraction_center,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area,fallback_used,fallback_reason,heldout_run,template_source_runs,stave
B2:amp2:fast_tail,2,fast_tail,6304.84,9647.0,8069.0,0.4571336608370734,704,1.3886026233836142,4,8.267303549224238,False,,54,46 47,
B2:amp2:balanced,2,balanced,6304.84,9647.0,7865.25,0.5211110871601476,678,2.523140057586592,5,8.2436038130799,False,,54,46 47,
B2:amp2:slow_tail,2,slow_tail,6304.84,9647.0,7392.5,0.5933276818777224,429,3.1742899107502693,6,9.227322544299598,False,,54,46 47,
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,54,46 47,
B4:amp0:balanced,0,balanced,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,54,46 47,
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,54,46 47,
B4:amp1:fast_tail,1,fast_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,54,46 47,
B4:amp1:balanced,1,balanced,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,54,46 47,
B4:amp1:slow_tail,1,slow_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,54,46 47,
B4:amp2:fast_tail,2,fast_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,54,46 47,
B4:amp2:balanced,2,balanced,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,54,46 47,
B4:amp2:slow_tail,2,slow_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,54,46 47,
B6:amp0:fast_tail,0,fast_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp0:balanced,0,balanced,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp0:slow_tail,0,slow_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp1:fast_tail,1,fast_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp1:balanced,1,balanced,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp1:slow_tail,1,slow_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp2:fast_tail,2,fast_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp2:balanced,2,balanced,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B6:amp2:slow_tail,2,slow_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,54,46 47,
B8:amp0:fast_tail,0,fast_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp0:balanced,0,balanced,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp0:slow_tail,0,slow_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp1:fast_tail,1,fast_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp1:balanced,1,balanced,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp1:slow_tail,1,slow_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp2:fast_tail,2,fast_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp2:balanced,2,balanced,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B8:amp2:slow_tail,2,slow_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,54,46 47,
B2:amp0:fast_tail,0,fast_tail,1501.0,3900.42,2915.0,0.4141622346706469,735,1.9238442604008847,5,7.989548191385142,False,,55,46 47,
B2:amp0:balanced,0,balanced,1501.0,3900.42,2909.25,0.5243874855383355,430,3.0944358556831246,6,7.738027338439552,False,,55,46 47,
B2:amp0:slow_tail,0,slow_tail,1501.0,3900.42,3130.75,0.6291307670738546,592,3.769337580198835,7,8.201041428834534,False,,55,46 47,
B2:amp1:fast_tail,1,fast_tail,3900.42,6304.84,5020.75,0.4580421654274468,318,1.1999290412323202,4,9.258123890786111,False,,55,46 47,
B2:amp1:balanced,1,balanced,3900.42,6304.84,5029.0,0.5164534575296795,649,2.054017386150105,4,9.136262399868576,False,,55,46 47,
B2:amp1:slow_tail,1,slow_tail,3900.42,6304.84,4903.25,0.6228067591911721,790,3.2512526838837967,5,9.874792399829353,False,,55,46 47,
B2:amp2:fast_tail,2,fast_tail,6304.84,9647.0,8069.0,0.4571336608370734,704,1.3886026233836142,4,8.267303549224238,False,,55,46 47,
B2:amp2:balanced,2,balanced,6304.84,9647.0,7865.25,0.5211110871601476,678,2.523140057586592,5,8.2436038130799,False,,55,46 47,
B2:amp2:slow_tail,2,slow_tail,6304.84,9647.0,7392.5,0.5933276818777224,429,3.1742899107502693,6,9.227322544299598,False,,55,46 47,
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,55,46 47,
B4:amp0:balanced,0,balanced,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,55,46 47,
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,55,46 47,
B4:amp1:fast_tail,1,fast_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,55,46 47,
B4:amp1:balanced,1,balanced,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,55,46 47,
B4:amp1:slow_tail,1,slow_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,55,46 47,
B4:amp2:fast_tail,2,fast_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,55,46 47,
B4:amp2:balanced,2,balanced,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,55,46 47,
B4:amp2:slow_tail,2,slow_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,55,46 47,
B6:amp0:fast_tail,0,fast_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp0:balanced,0,balanced,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp0:slow_tail,0,slow_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp1:fast_tail,1,fast_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp1:balanced,1,balanced,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp1:slow_tail,1,slow_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp2:fast_tail,2,fast_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp2:balanced,2,balanced,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B6:amp2:slow_tail,2,slow_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,55,46 47,
B8:amp0:fast_tail,0,fast_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp0:balanced,0,balanced,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp0:slow_tail,0,slow_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp1:fast_tail,1,fast_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp1:balanced,1,balanced,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp1:slow_tail,1,slow_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp2:fast_tail,2,fast_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp2:balanced,2,balanced,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B8:amp2:slow_tail,2,slow_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,55,46 47,
B2:amp0:fast_tail,0,fast_tail,1501.0,3900.42,2915.0,0.4141622346706469,735,1.9238442604008847,5,7.989548191385142,False,,56,46 47,
B2:amp0:balanced,0,balanced,1501.0,3900.42,2909.25,0.5243874855383355,430,3.0944358556831246,6,7.738027338439552,False,,56,46 47,
B2:amp0:slow_tail,0,slow_tail,1501.0,3900.42,3130.75,0.6291307670738546,592,3.769337580198835,7,8.201041428834534,False,,56,46 47,
B2:amp1:fast_tail,1,fast_tail,3900.42,6304.84,5020.75,0.4580421654274468,318,1.1999290412323202,4,9.258123890786111,False,,56,46 47,
B2:amp1:balanced,1,balanced,3900.42,6304.84,5029.0,0.5164534575296795,649,2.054017386150105,4,9.136262399868576,False,,56,46 47,
B2:amp1:slow_tail,1,slow_tail,3900.42,6304.84,4903.25,0.6228067591911721,790,3.2512526838837967,5,9.874792399829353,False,,56,46 47,
B2:amp2:fast_tail,2,fast_tail,6304.84,9647.0,8069.0,0.4571336608370734,704,1.3886026233836142,4,8.267303549224238,False,,56,46 47,
B2:amp2:balanced,2,balanced,6304.84,9647.0,7865.25,0.5211110871601476,678,2.523140057586592,5,8.2436038130799,False,,56,46 47,
B2:amp2:slow_tail,2,slow_tail,6304.84,9647.0,7392.5,0.5933276818777224,429,3.1742899107502693,6,9.227322544299598,False,,56,46 47,
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,56,46 47,
B4:amp0:balanced,0,balanced,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,56,46 47,
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,56,46 47,
B4:amp1:fast_tail,1,fast_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,56,46 47,
B4:amp1:balanced,1,balanced,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,56,46 47,
B4:amp1:slow_tail,1,slow_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,56,46 47,
B4:amp2:fast_tail,2,fast_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,56,46 47,
B4:amp2:balanced,2,balanced,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,56,46 47,
B4:amp2:slow_tail,2,slow_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,56,46 47,
B6:amp0:fast_tail,0,fast_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp0:balanced,0,balanced,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp0:slow_tail,0,slow_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp1:fast_tail,1,fast_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp1:balanced,1,balanced,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp1:slow_tail,1,slow_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp2:fast_tail,2,fast_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp2:balanced,2,balanced,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B6:amp2:slow_tail,2,slow_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,56,46 47,
B8:amp0:fast_tail,0,fast_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp0:balanced,0,balanced,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp0:slow_tail,0,slow_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp1:fast_tail,1,fast_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp1:balanced,1,balanced,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp1:slow_tail,1,slow_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp2:fast_tail,2,fast_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp2:balanced,2,balanced,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B8:amp2:slow_tail,2,slow_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,56,46 47,
B2:amp0:fast_tail,0,fast_tail,1501.0,3900.42,2915.0,0.4141622346706469,735,1.9238442604008847,5,7.989548191385142,False,,57,46 47,
B2:amp0:balanced,0,balanced,1501.0,3900.42,2909.25,0.5243874855383355,430,3.0944358556831246,6,7.738027338439552,False,,57,46 47,
B2:amp0:slow_tail,0,slow_tail,1501.0,3900.42,3130.75,0.6291307670738546,592,3.769337580198835,7,8.201041428834534,False,,57,46 47,
B2:amp1:fast_tail,1,fast_tail,3900.42,6304.84,5020.75,0.4580421654274468,318,1.1999290412323202,4,9.258123890786111,False,,57,46 47,
B2:amp1:balanced,1,balanced,3900.42,6304.84,5029.0,0.5164534575296795,649,2.054017386150105,4,9.136262399868576,False,,57,46 47,
B2:amp1:slow_tail,1,slow_tail,3900.42,6304.84,4903.25,0.6228067591911721,790,3.2512526838837967,5,9.874792399829353,False,,57,46 47,
B2:amp2:fast_tail,2,fast_tail,6304.84,9647.0,8069.0,0.4571336608370734,704,1.3886026233836142,4,8.267303549224238,False,,57,46 47,
B2:amp2:balanced,2,balanced,6304.84,9647.0,7865.25,0.5211110871601476,678,2.523140057586592,5,8.2436038130799,False,,57,46 47,
B2:amp2:slow_tail,2,slow_tail,6304.84,9647.0,7392.5,0.5933276818777224,429,3.1742899107502693,6,9.227322544299598,False,,57,46 47,
B4:amp0:fast_tail,0,fast_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,57,46 47,
B4:amp0:balanced,0,balanced,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,57,46 47,
B4:amp0:slow_tail,0,slow_tail,1932.0,2584.75,2404.5,0.4016479419427792,9,2.0413164202106997,6,7.8264911958398935,True,,57,46 47,
B4:amp1:fast_tail,1,fast_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,57,46 47,
B4:amp1:balanced,1,balanced,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,57,46 47,
B4:amp1:slow_tail,1,slow_tail,2584.75,3801.75,2868.0,0.5723288181768464,8,3.336394793064524,7,8.434455734597984,True,,57,46 47,
B4:amp2:fast_tail,2,fast_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,57,46 47,
B4:amp2:balanced,2,balanced,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,57,46 47,
B4:amp2:slow_tail,2,slow_tail,3801.75,8348.0,4948.0,0.4512025293324697,9,1.0863080036411632,3,10.956975190923924,True,,57,46 47,
B6:amp0:fast_tail,0,fast_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp0:balanced,0,balanced,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp0:slow_tail,0,slow_tail,1519.0,2431.84,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp1:fast_tail,1,fast_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp1:balanced,1,balanced,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp1:slow_tail,1,slow_tail,2431.84,3441.7200000000003,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp2:fast_tail,2,fast_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp2:balanced,2,balanced,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B6:amp2:slow_tail,2,slow_tail,3441.7200000000003,3793.5,2890.5,0.5954775958506828,17,3.2458617020802776,6,8.434570072269702,True,,57,46 47,
B8:amp0:fast_tail,0,fast_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp0:balanced,0,balanced,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp0:slow_tail,0,slow_tail,2051.0,2512.385,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp1:fast_tail,1,fast_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp1:balanced,1,balanced,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp1:slow_tail,1,slow_tail,2512.385,2680.98,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp2:fast_tail,2,fast_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp2:balanced,2,balanced,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
B8:amp2:slow_tail,2,slow_tail,2680.98,3480.0,2608.75,0.6547099279775208,8,3.3679944531387167,7,8.448260565343547,True,,57,46 47,
