stave,n_train_pulses,template_peak_sample,template_cfd20_sample,template_area,template_family,heldout_run,training_runs,template_id,amp_bin,shape,amp_low,amp_high,amp_center,late_fraction_center,fallback_used
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,51,46 47,B6:amp1:balanced,1.0,balanced,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,51,46 47,B6:amp1:slow_tail,1.0,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,51,46 47,B6:amp2:fast_tail,2.0,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,51,46 47,B6:amp2:balanced,2.0,balanced,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,51,46 47,B6:amp2:slow_tail,2.0,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp0:fast_tail,0.0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp0:balanced,0.0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp0:slow_tail,0.0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp1:fast_tail,1.0,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp1:balanced,1.0,balanced,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp1:slow_tail,1.0,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp2:fast_tail,2.0,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp2:balanced,2.0,balanced,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,51,46 47,B8:amp2:slow_tail,2.0,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
B2,5695,5,2.4518511617726695,9.285341551822418,simple_s11b_ml_feature_template,52,46 47,,,,,,,,
B4,32,7,1.508879028203003,9.279989243165659,simple_s11b_ml_feature_template,52,46 47,,,,,,,,
B6,24,6,3.249143272022857,8.143315684830744,simple_s11b_ml_feature_template,52,46 47,,,,,,,,
B8,15,7,3.3090002608678986,7.650832525211052,simple_s11b_ml_feature_template,52,46 47,,,,,,,,
,771,5,1.9042808432676197,7.937083491117804,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp0:fast_tail,0.0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,False
,422,6,3.0942893942306244,7.725155048001952,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp0:balanced,0.0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,False
,589,7,3.769979968844479,8.16325558181084,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp0:slow_tail,0.0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,False
,324,4,1.1786242612679947,9.28358498723463,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp1:fast_tail,1.0,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,False
,659,4,2.0464938039524205,9.147903983939447,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp1:balanced,1.0,balanced,3865.34,6246.52,5005.0,0.5157293863475747,False
,798,5,3.2510171199033966,9.874726524033422,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp1:slow_tail,1.0,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,False
,687,4,1.3850640838589185,8.265979901974642,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp2:fast_tail,2.0,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,False
,700,5,2.4597225277121773,8.299610754836438,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp2:balanced,2.0,balanced,6246.52,9647.0,7844.75,0.5189866395978201,False
,449,6,3.1731481484863795,9.245976857530483,s11c_amp_binned_asymmetric_traditional,52,46 47,B2:amp2:slow_tail,2.0,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,False
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp0:fast_tail,0.0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp0:balanced,0.0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp0:slow_tail,0.0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp1:fast_tail,1.0,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp1:balanced,1.0,balanced,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp1:slow_tail,1.0,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp2:fast_tail,2.0,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp2:balanced,2.0,balanced,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,52,46 47,B4:amp2:slow_tail,2.0,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp0:fast_tail,0.0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp0:balanced,0.0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp0:slow_tail,0.0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp1:fast_tail,1.0,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp1:balanced,1.0,balanced,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp1:slow_tail,1.0,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp2:fast_tail,2.0,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp2:balanced,2.0,balanced,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,52,46 47,B6:amp2:slow_tail,2.0,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp0:fast_tail,0.0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp0:balanced,0.0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp0:slow_tail,0.0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp1:fast_tail,1.0,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp1:balanced,1.0,balanced,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp1:slow_tail,1.0,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp2:fast_tail,2.0,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp2:balanced,2.0,balanced,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,52,46 47,B8:amp2:slow_tail,2.0,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
B2,5695,5,2.4518511617726695,9.285341551822418,simple_s11b_ml_feature_template,53,46 47,,,,,,,,
B4,32,7,1.508879028203003,9.279989243165659,simple_s11b_ml_feature_template,53,46 47,,,,,,,,
B6,24,6,3.249143272022857,8.143315684830744,simple_s11b_ml_feature_template,53,46 47,,,,,,,,
B8,15,7,3.3090002608678986,7.650832525211052,simple_s11b_ml_feature_template,53,46 47,,,,,,,,
,771,5,1.9042808432676197,7.937083491117804,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp0:fast_tail,0.0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,False
,422,6,3.0942893942306244,7.725155048001952,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp0:balanced,0.0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,False
,589,7,3.769979968844479,8.16325558181084,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp0:slow_tail,0.0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,False
,324,4,1.1786242612679947,9.28358498723463,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp1:fast_tail,1.0,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,False
,659,4,2.0464938039524205,9.147903983939447,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp1:balanced,1.0,balanced,3865.34,6246.52,5005.0,0.5157293863475747,False
,798,5,3.2510171199033966,9.874726524033422,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp1:slow_tail,1.0,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,False
,687,4,1.3850640838589185,8.265979901974642,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp2:fast_tail,2.0,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,False
,700,5,2.4597225277121773,8.299610754836438,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp2:balanced,2.0,balanced,6246.52,9647.0,7844.75,0.5189866395978201,False
,449,6,3.1731481484863795,9.245976857530483,s11c_amp_binned_asymmetric_traditional,53,46 47,B2:amp2:slow_tail,2.0,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,False
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp0:fast_tail,0.0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp0:balanced,0.0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp0:slow_tail,0.0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp1:fast_tail,1.0,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp1:balanced,1.0,balanced,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp1:slow_tail,1.0,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp2:fast_tail,2.0,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp2:balanced,2.0,balanced,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,53,46 47,B4:amp2:slow_tail,2.0,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp0:fast_tail,0.0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp0:balanced,0.0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp0:slow_tail,0.0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp1:fast_tail,1.0,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp1:balanced,1.0,balanced,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp1:slow_tail,1.0,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp2:fast_tail,2.0,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp2:balanced,2.0,balanced,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,53,46 47,B6:amp2:slow_tail,2.0,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp0:fast_tail,0.0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp0:balanced,0.0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp0:slow_tail,0.0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp1:fast_tail,1.0,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp1:balanced,1.0,balanced,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp1:slow_tail,1.0,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp2:fast_tail,2.0,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp2:balanced,2.0,balanced,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,53,46 47,B8:amp2:slow_tail,2.0,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
B2,5695,5,2.4518511617726695,9.285341551822418,simple_s11b_ml_feature_template,54,46 47,,,,,,,,
B4,32,7,1.508879028203003,9.279989243165659,simple_s11b_ml_feature_template,54,46 47,,,,,,,,
B6,24,6,3.249143272022857,8.143315684830744,simple_s11b_ml_feature_template,54,46 47,,,,,,,,
B8,15,7,3.3090002608678986,7.650832525211052,simple_s11b_ml_feature_template,54,46 47,,,,,,,,
,771,5,1.9042808432676197,7.937083491117804,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp0:fast_tail,0.0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,False
,422,6,3.0942893942306244,7.725155048001952,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp0:balanced,0.0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,False
,589,7,3.769979968844479,8.16325558181084,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp0:slow_tail,0.0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,False
,324,4,1.1786242612679947,9.28358498723463,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp1:fast_tail,1.0,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,False
,659,4,2.0464938039524205,9.147903983939447,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp1:balanced,1.0,balanced,3865.34,6246.52,5005.0,0.5157293863475747,False
,798,5,3.2510171199033966,9.874726524033422,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp1:slow_tail,1.0,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,False
,687,4,1.3850640838589185,8.265979901974642,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp2:fast_tail,2.0,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,False
,700,5,2.4597225277121773,8.299610754836438,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp2:balanced,2.0,balanced,6246.52,9647.0,7844.75,0.5189866395978201,False
,449,6,3.1731481484863795,9.245976857530483,s11c_amp_binned_asymmetric_traditional,54,46 47,B2:amp2:slow_tail,2.0,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,False
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp0:fast_tail,0.0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp0:balanced,0.0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp0:slow_tail,0.0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp1:fast_tail,1.0,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp1:balanced,1.0,balanced,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp1:slow_tail,1.0,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp2:fast_tail,2.0,fast_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp2:balanced,2.0,balanced,3589.38,8348.0,4816.25,0.447899964726551,True
,10,3,1.073179271451893,10.981012461462237,s11c_amp_binned_asymmetric_traditional,54,46 47,B4:amp2:slow_tail,2.0,slow_tail,3589.38,8348.0,4816.25,0.447899964726551,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp0:fast_tail,0.0,fast_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp0:balanced,0.0,balanced,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp0:slow_tail,0.0,slow_tail,1519.0,2347.935,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp1:fast_tail,1.0,fast_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp1:balanced,1.0,balanced,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp1:slow_tail,1.0,slow_tail,2347.935,3420.64,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp2:fast_tail,2.0,fast_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp2:balanced,2.0,balanced,3420.64,3793.5,2763.75,0.6009834521988113,True
,18,6,3.244130864715137,8.515996448696113,s11c_amp_binned_asymmetric_traditional,54,46 47,B6:amp2:slow_tail,2.0,slow_tail,3420.64,3793.5,2763.75,0.6009834521988113,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp0:fast_tail,0.0,fast_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp0:balanced,0.0,balanced,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp0:slow_tail,0.0,slow_tail,2051.0,2567.495,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp1:fast_tail,1.0,fast_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp1:balanced,1.0,balanced,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp1:slow_tail,1.0,slow_tail,2567.495,3053.06,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp2:fast_tail,2.0,fast_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp2:balanced,2.0,balanced,3053.06,6432.0,2674.5,0.7351918175852741,True
,10,7,3.359522515275851,7.792315545431649,s11c_amp_binned_asymmetric_traditional,54,46 47,B8:amp2:slow_tail,2.0,slow_tail,3053.06,6432.0,2674.5,0.7351918175852741,True
B2,5695,5,2.4518511617726695,9.285341551822418,simple_s11b_ml_feature_template,55,46 47,,,,,,,,
B4,32,7,1.508879028203003,9.279989243165659,simple_s11b_ml_feature_template,55,46 47,,,,,,,,
B6,24,6,3.249143272022857,8.143315684830744,simple_s11b_ml_feature_template,55,46 47,,,,,,,,
B8,15,7,3.3090002608678986,7.650832525211052,simple_s11b_ml_feature_template,55,46 47,,,,,,,,
,771,5,1.9042808432676197,7.937083491117804,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp0:fast_tail,0.0,fast_tail,1501.0,3865.34,2868.0,0.40812725277078377,False
,422,6,3.0942893942306244,7.725155048001952,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp0:balanced,0.0,balanced,1501.0,3865.34,2898.25,0.5240428136579793,False
,589,7,3.769979968844479,8.16325558181084,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp0:slow_tail,0.0,slow_tail,1501.0,3865.34,3114.5,0.6292295577670343,False
,324,4,1.1786242612679947,9.28358498723463,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp1:fast_tail,1.0,fast_tail,3865.34,6246.52,4915.0,0.45408148700321,False
,659,4,2.0464938039524205,9.147903983939447,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp1:balanced,1.0,balanced,3865.34,6246.52,5005.0,0.5157293863475747,False
,798,5,3.2510171199033966,9.874726524033422,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp1:slow_tail,1.0,slow_tail,3865.34,6246.52,4874.0,0.6228067591911721,False
,687,4,1.3850640838589185,8.265979901974642,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp2:fast_tail,2.0,fast_tail,6246.52,9647.0,8068.5,0.4562725598985154,False
,700,5,2.4597225277121773,8.299610754836438,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp2:balanced,2.0,balanced,6246.52,9647.0,7844.75,0.5189866395978201,False
,449,6,3.1731481484863795,9.245976857530483,s11c_amp_binned_asymmetric_traditional,55,46 47,B2:amp2:slow_tail,2.0,slow_tail,6246.52,9647.0,7372.0,0.5933276818777224,False
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp0:fast_tail,0.0,fast_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp0:balanced,0.0,balanced,1932.0,2584.48,2335.5,0.39841734464290635,True
,10,5,1.8761300475521492,7.940592774740123,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp0:slow_tail,0.0,slow_tail,1932.0,2584.48,2335.5,0.39841734464290635,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp1:fast_tail,1.0,fast_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp1:balanced,1.0,balanced,2584.48,3589.38,2877.5,0.6221969611788508,True
,9,7,3.4193588593926947,7.584382606918808,s11c_amp_binned_asymmetric_traditional,55,46 47,B4:amp1:slow_tail,1.0,slow_tail,2584.48,3589.38,2877.5,0.6221969611788508,True
