max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,method,fold,cv_rmse_ns,n_train_rows,n_val_rows,alpha,note
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,0,1.136007793567415,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.257888440534278,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,2,2.084011605724416,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.8259692799420364,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,0,1.063254842360727,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.216460978959491,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,2,2.0441528938844433,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.7746229050682203,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,0,1.0635936017717291,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.217670919652745,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,2,2.04081689041885,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.7740271372811083,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,0,1.0174101109005804,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.16021504074258,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,2,2.018510708443426,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.732045286695529,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,0,1.0178797176893615,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.154515879798775,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,2,2.0227127172570043,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.7317027715817137,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,0,0.9851242914325807,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.135786870350231,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,2,1.986396533460392,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.7024358984144012,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,0,0.986998791875475,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,1,2.141375306783197,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,2,1.9905402310997782,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_shuffled_target_sentinel,-1,1.70630477658615,3780.0,0.0,,
