feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run
B8_area_over_amp,-1.3604383382711969,s02d_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_template_sse,0.18602512114844735,s02d_binned_timewalk_drift0,s02b_template,0,11241,219,58
intercept,0.0,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_intercept,-86.02537339020736,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_log_amp,151.82768352308076,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_log_amp2,-79.26309891879772,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_inv_amp,-3.9969180775319066,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_peak_sample,0.5292202298023105,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_area_over_amp,3.186592583576028,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_template_sse,0.7846765844694616,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_intercept,44.15548990541385,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_log_amp,-73.27429424669496,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_log_amp2,22.83283780085094,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_inv_amp,-1.9285945894528567,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_peak_sample,-0.7696941058476118,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_area_over_amp,-0.6172367462393028,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_template_sse,0.30901441401808716,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_intercept,41.86987757325622,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_log_amp,-62.25482688214898,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_log_amp2,14.919688385991284,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_inv_amp,-2.8657737722843715,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_peak_sample,-0.6535492422471753,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_area_over_amp,-1.361471966818084,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_template_sse,0.18663891371118363,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_run_z1,0.05965584792316739,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_run_z1,-0.0071945639279276195,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_run_z1,-0.023045415550739974,s02d_binned_timewalk_drift1,s02b_template,1,11241,219,58
intercept,0.0,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_intercept,-85.71861430680752,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_log_amp,151.60303458024828,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_log_amp2,-79.16559563212469,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_inv_amp,-3.995736023093091,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_peak_sample,0.5315796501977704,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_area_over_amp,3.1847066368322623,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_template_sse,0.7829791881246564,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_intercept,44.25527295647201,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_log_amp,-73.15044776480272,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_log_amp2,22.78132696179219,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_inv_amp,-1.927709539965946,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_peak_sample,-0.770332568804701,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_area_over_amp,-0.6168706698034845,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_template_sse,0.30929601494985987,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_intercept,41.463335469596835,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_log_amp,-61.374703622662174,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_log_amp2,14.58340196893284,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_inv_amp,-2.851299243526531,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_peak_sample,-0.6628293738703014,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_area_over_amp,-1.3617123808043858,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_template_sse,0.18826971607704454,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_run_z1,0.05266315534979017,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_run_z1,-0.0051557391626678665,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_run_z1,0.013601572949299855,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B4_run_z2,-0.015075666632405074,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B6_run_z2,0.004430045549658007,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
B8_run_z2,0.08037446253390337,s02d_binned_timewalk_drift2,s02b_template,2,11241,219,58
intercept,0.0,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_intercept,83.99982978703363,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_log_amp,-242.46609382205315,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_log_amp2,122.92708128719022,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_inv_amp,-0.14190104717448002,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_peak_sample,0.5418696826993497,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_area_over_amp,-0.4604785370991429,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B4_template_sse,-0.2919313276924095,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_intercept,-29.99441630607314,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_log_amp,2.24587456893219,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_log_amp2,-4.442102933239573,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_inv_amp,-0.7393803827375643,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_peak_sample,0.19712636698008928,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_area_over_amp,-0.03932306106145252,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B6_template_sse,-0.0014954315720607822,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_intercept,-54.005403229546474,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_log_amp,55.447370257389814,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_log_amp2,-35.70158706214416,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_inv_amp,-0.9913423800662589,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_peak_sample,0.7304013662070491,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_area_over_amp,1.1757291107694026,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
B8_template_sse,0.24815160452035945,s02d_global_timewalk_drift0,template_phase,0,11241,219,58
intercept,0.0,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_intercept,84.12470754223973,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_log_amp,-242.31891505489904,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_log_amp2,122.87900963642177,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_inv_amp,-0.13965233375623723,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_peak_sample,0.5389296105143822,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_area_over_amp,-0.46255346390514573,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_template_sse,-0.29250731848204975,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_intercept,-29.922784651225676,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_log_amp,2.49282466246695,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_log_amp2,-4.555715602497676,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_inv_amp,-0.7356710360099649,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_peak_sample,0.19963439200070202,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_area_over_amp,-0.04463207632695243,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_template_sse,-0.0020918529242590182,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_intercept,-54.20191262800579,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_log_amp,56.17285910165563,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_log_amp2,-36.03417644454123,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_inv_amp,-0.9823399408124761,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_peak_sample,0.7324125786527694,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_area_over_amp,1.1748402515226106,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_template_sse,0.24868625896177068,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B4_run_z1,0.014634012929922578,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B6_run_z1,-0.021821661592923473,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
B8_run_z1,-0.020012686463372217,s02d_global_timewalk_drift1,template_phase,1,11241,219,58
intercept,0.0,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_intercept,85.78777190825275,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_log_amp,-245.96385519846243,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_log_amp2,124.46842026231992,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_inv_amp,-0.13815021399129832,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_peak_sample,0.5684621642795257,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_area_over_amp,-0.4860509691128437,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_template_sse,-0.3136708211677494,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_intercept,-30.67309201309424,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_log_amp,2.9180096013512955,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_log_amp2,-4.71111949190585,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_inv_amp,-0.737539703427952,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_peak_sample,0.1940102064987651,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_area_over_amp,-0.041398745946272464,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_template_sse,0.00039136463509768023,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_intercept,-55.1146694924259,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_log_amp,56.81757464662607,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_log_amp2,-36.26718179870335,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_inv_amp,-0.9710312291464563,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_peak_sample,0.7237428892106145,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_area_over_amp,1.1748504719056667,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_template_sse,0.250261715076713,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_run_z1,-0.07300723573186474,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_run_z1,-0.003803330270050906,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_run_z1,0.014401151218078575,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B4_run_z2,-0.18894504447415078,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B6_run_z2,0.03914873723168825,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
B8_run_z2,0.07547383334675707,s02d_global_timewalk_drift2,template_phase,2,11241,219,58
intercept,0.0,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_intercept,-121.25731446984962,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_log_amp,261.9970111058949,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_log_amp2,-126.84547738450561,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_inv_amp,-3.064432985001266,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_peak_sample,0.2889393610965175,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_area_over_amp,3.299338690435698,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B4_template_sse,0.8360654326131796,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_intercept,75.04311141195807,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_log_amp,-73.92881900612426,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_log_amp2,21.14685790897942,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_inv_amp,-2.0291936538958026,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_peak_sample,-0.8590192226231593,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_area_over_amp,-0.5165914755837608,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B6_template_sse,0.3910939639216751,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_intercept,46.21419960691127,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_log_amp,-13.224039769795157,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_log_amp2,-9.037746472666605,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_inv_amp,-2.6701712010649103,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_peak_sample,-0.9402760913759947,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_area_over_amp,-2.243821715576331,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
B8_template_sse,0.08702392936725618,s02d_binned_timewalk_drift0,s02b_template,0,9171,2289,59
intercept,0.0,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_intercept,-122.73223723077992,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_log_amp,264.99748878441784,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_log_amp2,-127.89361683639858,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_inv_amp,-3.0439629486527133,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_peak_sample,0.2716083043264209,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_area_over_amp,3.277803232512953,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_template_sse,0.8462206611790548,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_intercept,75.69042899887414,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_log_amp,-74.19878840657347,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_log_amp2,21.222248612997202,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_inv_amp,-2.0312043673613855,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_peak_sample,-0.8580945842779583,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_area_over_amp,-0.523094116154565,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_template_sse,0.38771873864971945,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_intercept,47.04180473726345,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_log_amp,-14.108955991303874,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_log_amp2,-8.54348060971172,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_inv_amp,-2.666865831489341,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_peak_sample,-0.938476265403578,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_area_over_amp,-2.2316460342727087,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_template_sse,0.09151796837084938,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B4_run_z1,0.1127438695231033,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B6_run_z1,-0.018686912064054456,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
B8_run_z1,0.040478963973147604,s02d_binned_timewalk_drift1,s02b_template,1,9171,2289,59
intercept,0.0,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_intercept,-122.47438890199356,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_log_amp,264.43507457179066,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_log_amp2,-127.58451824933132,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_inv_amp,-3.0348873489476924,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_peak_sample,0.28348838871601567,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_area_over_amp,3.2705292036971376,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_template_sse,0.8439655071688387,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_intercept,75.76895845347718,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_log_amp,-74.28968992769559,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_log_amp2,21.243116289530818,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_inv_amp,-2.0393581991073155,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_peak_sample,-0.8623845041362478,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_area_over_amp,-0.5239809495248873,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_template_sse,0.3870658414785446,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_intercept,46.70542695611547,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_log_amp,-13.398794883636578,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_log_amp2,-8.90520209143072,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_inv_amp,-2.6712401111113393,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_peak_sample,-0.9553477110297995,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_area_over_amp,-2.2434581697531355,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_template_sse,0.08667529932449836,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_run_z1,0.11055244337340331,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_run_z1,-0.017803603969823115,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_run_z1,0.04330028168002691,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B4_run_z2,-0.033602495426638915,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B6_run_z2,0.012891586289189419,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
B8_run_z2,0.04738333446608684,s02d_binned_timewalk_drift2,s02b_template,2,9171,2289,59
intercept,0.0,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_intercept,71.09113028519802,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_log_amp,-210.3464840498337,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_log_amp2,108.34090020166711,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_inv_amp,0.2869065097779267,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_peak_sample,0.48479236147080157,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_area_over_amp,-0.17086854893594558,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B4_template_sse,-0.2229399403839133,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_intercept,-22.88137583760556,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_log_amp,-2.6411624053380915,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_log_amp2,-1.5043758487151788,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_inv_amp,-0.6325791451139122,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_peak_sample,0.19798381226554368,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_area_over_amp,-0.05416886892449912,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B6_template_sse,-0.019824412419901127,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_intercept,-48.20975239709068,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_log_amp,54.29597749099789,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_log_amp2,-34.90762984132412,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_inv_amp,-0.9707675632891514,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_peak_sample,0.6588678305762321,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_area_over_amp,0.9716995850394964,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
B8_template_sse,0.2265100012168675,s02d_global_timewalk_drift0,template_phase,0,9171,2289,59
intercept,0.0,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_intercept,71.21114217869086,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_log_amp,-211.11194806744106,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_log_amp2,108.6161461843719,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_inv_amp,0.28090673553724194,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_peak_sample,0.48872344345475804,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_area_over_amp,-0.16596412031418065,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_template_sse,-0.22523477213889653,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_intercept,-22.935610894560376,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_log_amp,-3.119167087092859,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_log_amp2,-1.3285830363384719,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_inv_amp,-0.6378725520419826,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_peak_sample,0.19876986415928852,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_area_over_amp,-0.0596175955394319,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_template_sse,-0.02266124695387563,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_intercept,-48.27552922549054,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_log_amp,53.652323081438425,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_log_amp2,-34.56632994208492,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_inv_amp,-0.9712424052939431,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_peak_sample,0.6598576588307978,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_area_over_amp,0.9783320061071082,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_template_sse,0.22892096674200765,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B4_run_z1,-0.025605295138734222,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B6_run_z1,-0.015724998238234564,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
B8_run_z1,0.02132664365645615,s02d_global_timewalk_drift1,template_phase,1,9171,2289,59
intercept,0.0,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_intercept,71.92321348989458,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_log_amp,-213.59164122986155,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_log_amp2,109.9639191220972,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_inv_amp,0.31638473093185376,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_peak_sample,0.5381198554620553,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_area_over_amp,-0.19619116891378466,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B4_template_sse,-0.2345938383565478,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_intercept,-23.088762233738176,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_log_amp,-3.500938566831226,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_log_amp2,-1.2085089475093551,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_inv_amp,-0.6609261688215297,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_peak_sample,0.18776761693193386,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_area_over_amp,-0.06187953824741243,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B6_template_sse,-0.024334564039641668,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B8_intercept,-48.834449178823554,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B8_log_amp,53.933850417513156,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B8_log_amp2,-34.71661349535459,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
B8_inv_amp,-0.9753804021154945,s02d_global_timewalk_drift2,template_phase,2,9171,2289,59
